nom;tournee;type;number_count;numbers
Chemin de Balanou;109;voie;4;1,2,5,8
Chemin de Kerguiffinec;109;voie;7;1,2,3,4,5,7,9
Chemin de Menez Kerlaz;109;voie;10;1,2,5,7,8,9,11,4,6,3
Chemin de Palue de Kerguellec;109;voie;10;1,2,4,5,6,7,10,3,8,9
Chemin de Ty Meil;109;voie;7;1,2,3,4,5,6,7
Cleubras;109;voie;2;1,2
Impasse de Kreiz ar Vourc'h;109;voie;9;1,2,3,4,5,6,7,8,9
Kerbasquet;109;voie;3;1,2,3
Kergadaouen;109;voie;1;1
Kergaradec;109;voie;4;1,3,4,2
Kergoz;109;voie;3;1,2,3
Kerguellec Izella;109;voie;2;2,1
Kerguellec Traon;109;voie;1;1
Kerguellec;109;voie;1;1
Kerguéoc;109;voie;8;1,3,4,5,6,7,8,2
Kerland;109;voie;2;2,1
Kerlaz;109;voie;3;1,2,3
Kersugal Vian;109;voie;3;2,3,1
Kersugal;109;voie;1;1
Kervaillant;109;voie;6;5,1,2,3,4,6
Kervillic Vian;109;voie;1;1
Kervillic;109;voie;5;2,4,5,1,3
Menez Rouz;109;voie;3;1,2,3
Palue de Kersugal;109;voie;2;1,2
Palue Kergaradec;109;voie;1;1
Plasenn an Ti-Kêr;109;voie;5;1,2,3,4,5
Pont Nevez;109;voie;2;1,2
Quelornet;109;voie;5;1,2,3,4,5
Route de la Mer;109;voie;42;1,3,5,7,8,9,15,18,19,20,22,24,25,26,28,30,31,32,33,35,40,42,44,46,52,54,60,58,56,50,17,13,21,37,36,38,16,12,10,11,27,23
Route de Prad ar C'hastell;109;voie;8;1,3,4,6,10,12,2,8
Route de Saint Vio;109;voie;56;2,4,5,6,8,9,10,11,12,13,14,15,16,17,19,21,22,23,24,25,26,27,30,34,36,37,38,39,40,41,42,43,45,46,47,48,49,50,51,52,53,55,57,59,61,63,65,67,69,28,7,29,31,44,33,35
Rue du Bourg;109;voie;27;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,26,28,30,32,34,36,38,40,24
Rue du Vieux Bourg;109;voie;21;1,2,3,4,6,8,10,12,14,16,18,19,21,23,25,27,29,31,20,33,17
Treffry;109;voie;7;1,4,2,6,7,3,5
Ty Don;109;voie;1;1
Venelle de la Mairie;109;voie;3;6,4,2
