nom;tournee;type;number_count;numbers
Allee Blaise Pascal;105;voie;4;1,2,3,4
Allee de la Chataigneraie;206;voie;8;2,4,6,8,10,12,14,16
Allee de Prat Guen;206;voie;21;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Allee des Albizias;214;voie;5;1,3,4,5,7
Allée des Chataigniers;210;voie;6;1,2,3,4,6,8
Allée des Genêts;102;voie;7;1,2,3,4,5,7,11
Allée des Mandarins;210;voie;4;1,2,3,4
Allée Descartes;105;voie;4;1,2,3,5
Allee Diderot;105;voie;9;1,2,3,4,5,6,7,8,9
Allée du Ruisseau;206;voie;9;1,2,3,4,5,6,7,8,9
Allee Jean de la Fontaine;206;voie;4;1,2,3,4
Allée Julien Gracq;105;voie;6;1,2,3,4,5,6
Allée Maria Le Maréchal;102;voie;6;1,2,3,4,6,8
Allée Olympe de Gouges;105;voie;3;1,3,5
Avenue de Bantry;114;voie;27;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,28,32
Avenue de Kerarthur;206;voie;27;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,26,28,30,32
Avenue de Menez-Bihan;206;voie;39;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,33,35,37,39,41,43,47,49,51,53,55
Avenue de Schleiden;102;voie;30;2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Avenue de Trébéhoret;206;voie;32;1,2,3,4,5,6,7,8,9,10,11,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34,36,38
Avenue du Douric;201;voie;52;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Avenue du Douric;206;Voie;3;53,54,56
Avenue du Guerdy;206;voie;24;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,23,25,27,29
Avenue du Guiric;201;voie;30;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,28,30,32,34,36
Avenue Eric Tabarly;206;voie;28;1,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Avenue Jacques Chirac;101;voie;35;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,37
Botvellec;207;voie;2;1,2
Boulevard des Poilus;102;voie;16;1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Brémilliec;201;voie;3;1,2,3
Bringall Izella;101;voie;2;1,2
Bringall;101;voie;1;10
Chemin de Gorrelen;207;voie;7;1,2,3,4,5,6,7
Chemin de Keralio;210;voie;1;11
Chemin de Kerargont;206;voie;12;1,2,3,5,7,9,10,11,16,18,20,22
Chemin de Kernuz;201;voie;13;1,3,4,5,6,8,9,10,11,12,14,16,18
Chemin de Kerondo Vras;210;voie;16;1,2,3,5,9,11,13,15,17,19,21,23,25,27,29,31
Chemin de Kerondo;210;voie;11;1,2,3,4,5,6,7,8,9,11,13
Chemin de Kerrouant;201;voie;18;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21
Chemin de Kerseoc'h;104;voie;4;1,2,3,4
Chemin de l’Etang;102;voie;3;1,3,5
Chemin de Lambour;102;voie;5;1,2,4,6,8
Chemin de Penamprat;201;voie;9;1,2,3,4,5,7,9,11,13
Chemin de Pors Moro;102;voie;11;1,2,3,4,5,6,7,8,9,11,13
Chemin de Rosquerno;210;voie;9;2,4,8,12,14,16,18,20,22
Chemin de Trevannec;210;voie;11;2,4,6,8,10,12,14,16,18,20,22
Chemin des justices;101;voie;4;1,2,3,5
Chemin du Cosquer;201;voie;6;1,2,3,4,5,7
