nom;tournee;type;number_count;numbers
Impasse du Fessou;;voie;4;2,4,6,8
Impasse du Moulin;;voie;6;1,2,3,4,1567,1568
Impasse du Nord;;voie;7;1,2,3,4,5,6,8
Impasse Dunois;;voie;7;1,2,3,4,5,6,8
Impasse Glinec;;voie;9;1,2,4,6,7,8,9,10,11
Impasse Gwaremm Kergoff;;voie;17;1,2,3,4,5,7,9,15,18,20,24,26,28,30,32,1289,1290
Impasse Hent Feunteun Ar Goucou;;voie;5;1,4,8,9,18
Impasse Jules Ferry;;voie;3;19,21,23
Impasse le Roux;;voie;10;1,3,4,5,6,7,8,10,12,14
Impasse Loden Dehou;;voie;11;1,2,3,4,5,6,7,8,9,10,11
Impasse Louis Peron;;voie;2;1,2
Impasse Maez Huel;;voie;11;1,2,3,4,5,6,7,8,9,10,11
Impasse Mejou Noad;;voie;5;10,12,14,18,20
Impasse Men du;;voie;4;1,2,3,4
impasse Saint Quido;;voie;10;1,2,3,4,5,6,7,8,9,10
Impasse Saint Tudy;;voie;6;1,3,5,7,9,11
Impasse Ty Guen;;voie;8;1,2,3,4,5,6,7,8
Istreved Kerillan;;voie;14;1,2,4,5,6,8,9,10,12,14,16,18,19,20
Istrevet Ar Baranez;;voie;8;1,2,3,4,5,6,8,10
Istrevet Ar Croas;;voie;3;3,5,9
Istrevet Gleut Vihan;;voie;4;1,2,3,5
Jardin de Hent Croas;;voie;14;1,2,3,4,5,6,7,8,9,10,11,12,13,14
Kerafédé Palud Kerafédé;;voie;1;1232
Kerambourg;;voie;1;64
Kerandoin;;voie;4;1247,1659,1660,1661
Kerandouin;;voie;2;3,5
Kerandouret;;voie;1;15
Kerbernez;;voie;5;1,2,3,5,7
Kerfriant;;voie;1;40
Kergolven;;voie;2;839,1821
Kerilis;;voie;1;57
Kerizur;;voie;3;10,2504,2510
Kerlano;;voie;2;6,133
Kermenhir Vihan;;voie;8;1,2,3,4,5,6,7,8
Kervilzic de Imp;;voie;3;1,2,4
Lace Saint-Tudy;;voie;5;1,3,5,7,9
le clos de Kérandouret;;voie;1;1
Le Clos de Kergolven;;voie;5;1,2,3,4,5
Lieu Dit Bremoguer;;voie;16;1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18
Lieu Dit Coz Castel;;voie;11;1,2,3,4,6,7,8,20,22,829,830
Lieu Dit Kerabel;;voie;1;62
Lieu Dit Kergall Nevez;;voie;4;1,2,4,6
Lieu Dit Kerhervant;;voie;8;1,3,5,7,9,148,151,794
Lieu Dit Kerherve;;voie;4;1,2,3,4
Lieu Dit Kerinvarc H;;voie;12;1,2,3,4,5,6,7,8,9,10,11,12
Lieu Dit Kerizec;;voie;8;1,2,3,4,5,7,9,11
Lieu Dit Kerlagadec;;voie;1;63
Lieu Dit Kermadec;;voie;6;5,59,60,61,62,63
Lieu Dit Kermenhir;;voie;2;1,2
Lieu Dit Kerouyen;;voie;21;1,2,3,4,5,6,7,8,9,10,11,12,13,15,17,19,21,814,815,817,818
Lieu Dit Lohan;;voie;12;1,2,3,4,5,6,7,809,811,812,813,2538
Lieu Dit Pontual Vras;;voie;13;1,2,3,4,5,6,7,8,9,10,11,13,15
Lieu Dit Queffen;;voie;1;130
Lieu Dit Renenal;;voie;5;1,2,4,6,1248
Lieu Dit Stang Ar Goff;;voie;11;42,44,46,48,50,52,53,54,55,56,58
Lieu Dit Ster Kerdour;;voie;7;1,3,5,1462,1463,1467,1514
Lieu-Dit Kergorentin;;voie;6;1,2,3,5,806,807
Lieu-Dit Leac’H An Dreau;;voie;8;2,3,4,5,6,7,8,10
Lieu-Dit Quemeur;;voie;27;1,2,3,4,5,6,7,8,9,10,12,14,16,18,20,22,796,797,798,799,800,801,802,804,805,810,2517
Lodonnec;;voie;2;9,21
Lotissement de Pratouarc H;;voie;9;21,23,25,27,29,31,33,35,37
Méjou Bihan;;voie;15;1,2,3,5,6,7,8,9,10,11,12,13,14,15,16
Méjou Erch;;voie;1;2528
Mejou Naod;;voie;4;17,20,1601,1607
Palue de Kerfriant;;voie;2;9,1393
Pen Ar Veur;;voie;3;1,2,3
Penglaouic;;voie;1;128
Penquer;;voie;1;783
Place des Anciens Combattants;;voie;5;1,2,4,6,8
Pont Ar Gwin;;voie;9;28,30,32,38,44,46,48,50,52
Prat An Asquel;;voie;1;1623
Quai de la Coopérative;;voie;4;1,3,5,7
Quai de Pen Ar Veur;;voie;7;1,3,5,7,9,11,13
Quai du Blaz;;voie;8;1,3,5,7,9,11,13,15
quai Rémy Le Lay;;voie;5;1,3,5,7,9
Residence Ar Ribotou;;voie;6;1,2,3,4,5,6
Residence Coz Castel;;voie;14;1,2,3,4,5,6,9,10,12,14,16,18,20,22
Résidence de Glévian;;voie;10;1,2,3,4,5,7,8,9,10,11
