nom;type;number_count;numbers
Impasse Monot;voie;3;1,3,7
Impasse Parc Mel;voie;5;1,2,3,4,6
Impasse Parc Tyrien;voie;4;1,3,4,6
Impasse Pierre Volant;voie;1;24
Impasse Théodore;voie;5;1,3,5,7,9
Kéraudren;voie;2;1,2
Kerentre;voie;1;59
Kerguévélen;voie;1;6
Kergus;voie;1;8
Kermaria;voie;1;17
Kernel;voie;1;1
Kerondo Vihan;voie;1;7
Kervihan;voie;4;1,2,3,4
La Gare;voie;1;1
La Palue;voie;4;1,2,3,4
Lieu Dit Hent Ar Foennec;voie;3;1,2,3
Lieu Dit Kerondo Vraz;voie;8;2,17,19,21,25,27,29,31
Lotissement de Kerambleis;voie;1;57
Lotissement de Trébéhoret;voie;2;3,5
Lotissement les Vergers du Séquer;voie;15;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Lotissement Park Névez;voie;8;1,3,4,5,7,8,9,10
Lotissement Rosveign;voie;1;29
Malabry;voie;1;6
Mejou Lannou;voie;4;2,3,4,5
Menez Bot;voie;1;1
Menez Kerlaouarn;voie;8;1,2,3,4,5,6,7,8
Moulin du Sequer;voie;12;1,2,3,4,5,6,7,8,9,10,11,13
Pagotaie;voie;3;1,2,3
Park Ar Stankou;voie;5;2,5,8,12,14
Park Nevez;voie;11;1,2,3,4,5,6,7,8,9,10,12
Park-Montouarc’H;voie;5;1,3,5,7,9
Passage de la Levée;voie;4;1,2,3,5
Passage du Douric-Coz;voie;1;2
Penhoat;voie;5;1,2,3,4,5
Place Brizeux;voie;1;1
Place de la République;voie;38;2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,38,40,42,44,46
Place de Trébéhoret;voie;15;1,2,3,4,5,6,7,8,9,10,12,14,16,18,20
Place des Agapanthes;voie;4;1,2,3,4
Place des Carmes;voie;10;1,2,4,5,6,7,8,10,12,17
Place des Echaudees;voie;4;2,4,6,8
Place du Douric-Coz;voie;12;2,3,4,5,6,7,8,9,10,11,12,13
Place du Guerdy;voie;5;1,3,5,7,9
Place du Pont Guern;voie;4;1,3,4,6
Place Gambetta;voie;27;1,2,3,4,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Place Toussaint Louverture;voie;3;1,2,3
Place Victor Hugo;voie;3;1,3,10
Place Voltaire;voie;5;1,5,7,9,11
