#Code_commune_INSEE;Nom_de_la_commune;Code_postal;Libellé_d_acheminement;Ligne_5;url_rues
1036;VALROMEY SUR SERAN;1260;VALROMEY SUR SERAN;VIEU;https://adresse.data.gouv.fr/api/downloads/1036/street-list?from=api-depot
1037;BENONCES;1470;BENONCES;;https://adresse.data.gouv.fr/api/downloads/1037/street-list?from=api-depot
1038;BENY;1370;BENY;;https://adresse.data.gouv.fr/api/downloads/1038/street-list?from=api-depot
1040;BEREZIAT;1340;BEREZIAT;;https://adresse.data.gouv.fr/api/downloads/1040/street-list?from=api-depot
1041;BETTANT;1500;BETTANT;;https://adresse.data.gouv.fr/api/downloads/1041/street-list?from=api-depot
1042;BEY;1290;BEY;;https://adresse.data.gouv.fr/api/downloads/1042/street-list?from=api-depot
1043;BEYNOST;1700;BEYNOST;;https://adresse.data.gouv.fr/api/downloads/1043/street-list?from=api-depot
1044;BILLIAT;1200;BILLIAT;;https://adresse.data.gouv.fr/api/downloads/1044/street-list?from=api-depot
1045;BIRIEUX;1330;BIRIEUX;;https://adresse.data.gouv.fr/api/downloads/1045/street-list?from=api-depot
1046;BIZIAT;1290;BIZIAT;;https://adresse.data.gouv.fr/api/downloads/1046/street-list?from=api-depot
1047;BLYES;1150;BLYES;;https://adresse.data.gouv.fr/api/downloads/1047/street-list?from=api-depot
1049;LA BOISSE;1120;LA BOISSE;;https://adresse.data.gouv.fr/api/downloads/1049/street-list?from=api-depot
1050;BOISSEY;1190;BOISSEY;;https://adresse.data.gouv.fr/api/downloads/1050/street-list?from=api-depot
1050;BOISSEY;1380;BOISSEY;;https://adresse.data.gouv.fr/api/downloads/1050/street-list?from=api-depot
1051;BOLOZON;1450;BOLOZON;;https://adresse.data.gouv.fr/api/downloads/1051/street-list?from=api-depot
1052;BOULIGNEUX;1330;BOULIGNEUX;;https://adresse.data.gouv.fr/api/downloads/1052/street-list?from=api-depot
1053;BOURG EN BRESSE;1000;BOURG EN BRESSE;;https://adresse.data.gouv.fr/api/downloads/1053/street-list?from=api-depot
1053;BOURG EN BRESSE;1000;BOURG EN BRESSE;BROU;https://adresse.data.gouv.fr/api/downloads/1053/street-list?from=api-depot
1054;BOURG ST CHRISTOPHE;1800;BOURG ST CHRISTOPHE;;https://adresse.data.gouv.fr/api/downloads/1054/street-list?from=api-depot
1054;BOURG ST CHRISTOPHE;1800;BOURG ST CHRISTOPHE;MARFOZ;https://adresse.data.gouv.fr/api/downloads/1054/street-list?from=api-depot
1056;BOYEUX ST JEROME;1640;BOYEUX ST JEROME;;https://adresse.data.gouv.fr/api/downloads/1056/street-list?from=api-depot
1057;BOZ;1190;BOZ;;https://adresse.data.gouv.fr/api/downloads/1057/street-list?from=api-depot
1058;BREGNIER CORDON;1300;BREGNIER CORDON;;https://adresse.data.gouv.fr/api/downloads/1058/street-list?from=api-depot
1060;BRENOD;1110;BRENOD;;https://adresse.data.gouv.fr/api/downloads/1060/street-list?from=api-depot
1061;BRENS;1300;BRENS;;https://adresse.data.gouv.fr/api/downloads/1061/street-list?from=api-depot
