nom;tournee;type;number_count;numbers
Avenue de Bretagne;113;voie;37;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,28,30,32,34,36,38,40,42,44,46,48,50
Avenue de la Plage;113;voie;32;1,9,10,11,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Avenue de Quimper;113;voie;24;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,24,26,28
Avenue des Sports;113;voie;24;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Avenue du Sillon;113;voie;11;1,2,3,4,5,6,7,8,9,10,11
Avenue du Téven;113;voie;28;1,2,3,4,5,6,7,8,9,10,11,12,13,15,17,19,21,23,25,27,31,33,35,37,39,41,43,600
Beg Ar Fry;113;voie;2;2,4
Boulevard de l’Océan;113;voie;11;2,4,6,8,10,12,14,16,18,20,22
Digue de Kermor;113;voie;4;2,3,6,8
Impasse de l’Usine;113;voie;5;1,2,3,4,582
Impasse des Colibris;113;voie;8;1,2,3,4,5,6,7,8
Impasse des Dunes;113;voie;6;1,2,3,4,5,6
Impasse des Fauvettes;113;voie;5;1,2,3,4,5
Impasse des Iles;113;voie;3;2,4,6
Impasse des Primeveres;113;voie;7;2,3,4,5,7,8,9
Impasse du Large;113;voie;3;1,2,3
Lotissement Beg Ar Fry;113;voie;1;10
Place de la Cale;113;voie;6;1,2,3,5,7,9
Place de la Republique;113;voie;1;5
Place des Americains;113;voie;12;1,2,3,4,5,6,7,8,10,12,14,16
Place des Déportés;113;voie;5;1,2,3,4,6
Place des Rougets;113;voie;6;1,2,3,4,5,6
Place des Salanganes;113;voie;5;1,2,3,4,5
Rue d’Armorique;113;voie;7;1,2,3,4,5,6,7
Rue de Beg Ar Fry;113;voie;12;1,2,3,4,5,6,7,8,10,12,14,16
Rue de Cornouaille;113;voie;13;1,2,3,4,5,6,7,8,9,10,12,14,16
Rue de Kermoor;113;voie;15;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Rue de l’Eglise;113;voie;8;1,2,3,4,6,8,10,457
Rue de l’Odet;113;voie;15;1,2,3,4,5,6,7,8,9,10,11,12,13,15,17
Rue de la Cité;113;voie;32;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,27,29,31,33,35,37,39,41
Rue de la Coopérative;113;voie;8;1,2,3,4,5,6,7,8
Rue de la Mairie;113;voie;4;1,2,4,6
Rue de la Petite Greve;113;voie;2;1,2
Rue de la Plage;113;voie;12;1,2,3,4,5,6,7,8,9,10,11,12
Rue de la Pointe;113;voie;6;2,4,6,8,10,12
Rue de la Poste;113;voie;10;1,2,3,4,5,6,7,8,10,12
Rue de la Prairie;113;voie;19;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,18,20,22,24
Rue de la République;113;voie;12;1,2,3,4,5,6,7,8,9,10,11,13
Rue de la Tour;113;voie;2;1,3
