nom;type;tournee;number_count;numbers
Impasse du Grand Bourg;voie;;4;1,2,3,4
Impasse du Moguer;voie;;7;1,2,3,4,5,6,10
impasse du Pays du Fruit;voie;;6;1,2,3,4,6,8
Impasse du Pouldon;voie;;6;1,2,3,4,6,10
Impasse du Roz;voie;;38;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,38,40,42
Impasse Fort Cigogne;voie;;5;1,2,3,4,5
Impasse Guiriden;voie;;3;1,3,5
Impasse Ile de Bananec;voie;;6;1,2,3,4,5,6
Impasse Jean Moulin;voie;;7;2,4,6,8,10,12,14
Impasse Jeanne le Lagadec;voie;;7;1,2,3,4,5,6,7
Impasse Kelen;voie;;7;1,2,3,4,5,6,7
Impasse Kerdual;voie;;3;3,5,7
Impasse Kereol;voie;;6;1,2,3,4,5,6
Impasse Kermor Bihan;voie;;6;2,4,6,8,10,12
Impasse Kerobistin Vihan;voie;;3;2,4,6
Impasse Laënnec;voie;;5;1,2,3,4,5
impasse Marguerite;voie;;18;1,2,3,4,5,6,7,8,9,10,11,12,13,15,17,19,21,23
Impasse Mathurin Meheut;voie;;10;1,2,3,4,5,6,7,8,10,12
Impasse Penker Kerhor;voie;;5;1,2,3,4,5
Impasse Robert Micheau-Vernez;voie;;9;1,2,3,4,5,6,7,9,11
impasse Saint Tudy;voie;;9;1,2,3,4,5,6,7,8,9
Impasse Ti Nevez Kergulan;voie;;7;1,2,3,4,5,6,7
Impasse Yann Kaourentin Ar Gall;voie;;3;1,2,3
Ker Trevennec;voie;;33;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,28,30,32,34,36,38,40,42
Keranguel;voie;;1;1
Keraoul;voie;;1;1
Kerbenoën Traon;voie;;15;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kerbernes;voie;;1;1
Kerboul;voie;;8;1,2,3,4,5,6,7,8
Kerchom;voie;;6;1,2,3,4,5,6
Kerdech;voie;;3;1,2,3
KERDOUSTEN TRAON;voie;;1;1
Kerdousten;voie;;5;1,2,3,4,6
Kergadec;voie;;18;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21
Kergadoret;voie;;3;1,2,3
Kergolec;voie;;7;1,2,3,4,5,6,8
Kerguillec;voie;;6;1,2,3,4,5,6
Kerharo;voie;;3;1,2,3
Kerhor Bihan;voie;;2;1,3
Kerhor;voie;;5;1,2,3,4,5
Keringal;voie;;5;1,2,3,4,5
Kerjecal;voie;;3;1,2,3
Kerjegu;voie;;7;1,2,3,4,5,6,8
Kerlaouen;voie;;4;1,2,3,4
Kerlec Vihan;voie;;1;1
Kerlec;voie;;29;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,27,29,31,33,35
Kerlever;voie;;7;1,2,3,4,6,8,10
Kerlevian;voie;;3;1,2,3
Kerlosquet;voie;;1;1
Kerneach;voie;;8;1,2,3,4,5,6,7,8
Kernou;voie;;2;1,2
Keromnes;voie;;31;1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,23,25,27,29,31,33,35,37,39,41,43
Kerouchard;voie;;1;1
Keroulin;voie;;6;1,2,3,4,6,7
Kerrien;voie;;3;1,2,3
Kerscuntec;voie;;2;1,2
Kervay;voie;;7;1,2,3,4,5,6,8
Kerveleguen;voie;;2;1,3
Keryaou;voie;;1;1
Lanio Huella;voie;;1;1
Lanio Izella;voie;;1;1
Le Cosquer;voie;;3;1,2,3
