nom;tournee;type;number_count;numbers
Allée Anita Conti;101 [105];voie;6;1,2,3,4,5,7
Allée Anjela Duval;101 [105];voie;17;1,2,3,4,5,6,7,8,9,10,11,13,15,17,19,21,23
Allee Carn Guillermic;110;voie;7;1,2,3,4,5,6,7
Allee de Canape;101 [108];voie;5;1,2,4,6,8
Allée de Keraden;101;voie;14;1,2,3,4,5,6,7,8,9,10,11,12,14,16
Allée de Kerallain;112;voie;7;2,4,5,6,7,8,9
Allée de Kerbréach;112;voie;8;1,2,3,4,5,6,7,9
Allée de Kergonda;111;voie;33;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,27,29,31,33,35,37,39,41,43
Allée de l'Iroise;112;voie;9;1,2,3,4,5,6,7,8,10
Allée de Park Heol;111;voie;3;1,2,3
Allée de Ty Bout;112;voie;20;1,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Allée des Anémones;112;voie;6;1,2,3,4,5,6
Allée des Bruyères;110;voie;25;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26
Allée des Chataigniers;110;voie;10;1,2,3,4,5,7,9,11,13,15
Allée des Cormorans;109;voie;15;1,2,3,4,5,6,7,8,9,11,13,14,16,18,20
Allée des Courlis;109;voie;13;1,2,3,4,5,6,7,8,9,10,11,12,14
Allee des Epiceas;110;voie;15;1,2,3,4,5,6,7,8,9,10,11,12,14,15,16
Allée des Genêts;109;voie;14;1,2,3,4,5,6,7,8,9,10,11,12,13,14
Allée des Goëlands;109;voie;8;1,2,3,4,5,6,7,9
Allée des Hirondelles;112;voie;19;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20
Allée des Hortensias;112;voie;14;1,2,3,4,5,6,7,8,9,10,11,12,13,14
Allee des Jonquilles;112;voie;9;1,2,3,4,5,6,7,8,10
Allée des Mésanges;112;voie;16;1,2,3,4,5,6,7,8,9,10,11,12,14,16,18,20
Allée des Mouettes;109;voie;11;1,2,3,4,5,6,7,8,9,10,12
Allée des Peupliers;112;voie;21;1,2,3,4,6,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24
Allée des Pins;112;voie;12;1,2,3,4,5,6,7,8,9,10,12,14
Allee des Saules;109;voie;13;1,2,3,4,5,6,7,8,9,10,11,12,13
Allée du Docteur Royer;109;voie;31;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31,33,35
Allée Louise Ebrel;203;voie;5;1,2,3,4,5
Ar Ven Dero;110;voie;5;1,3,5,6,9
Avenue de la Gare;110;voie;31;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,33
Balanou;110;voie;1;2
Bois de Kerdalem;106;voie;1;2
Bonne Nouvelle;112;voie;7;1,2,3,4,6,8,10
Brenanvec Nevez;101;voie;3;1,3,5
Brenanvec;101;voie;2;7,9
Breunteunvez;112;voie;5;1,2,3,4,5
Chemin de Keraden Nevez;101;voie;9;1,2,3,4,5,6,7,8,10
Cité Ernest Renan;110;voie;8;3,4,5,6,7,8,9,10
Cité Voltaire;112;voie;5;1,2,3,4,6
Coatellen;112;voie;10;1,2,3,4,5,7,9,11,13,15
Cosquer Nevez;106;voie;1;6
Cozmaner Névez;110;voie;3;3,5,7
Creac H Arom;111;voie;2;1,2
Creac H Mabond;111;voie;3;1,3,5
Creniat Ruvien;110;voie;2;4,6
Créniat Vras;110;voie;5;1,2,3,5,7
Fao glaz;106;voie;2;1,2
Foeneg Ar Yeun;110;voie;1;1
Hameau de Brenanvec;101;voie;17;1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18
Hameau de Croas Ar Bléon;108;voie;12;1,2,3,4,5,6,7,8,9,10,11,12
Hameau de Croas Caër;203;voie;24;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25
Hameau de Keryequel;112;voie;14;1,2,3,4,5,6,7,8,9,10,11,12,13,14
Hameau de l’Hermitage;112;voie;6;1,2,3,4,5,6
Hameau de Saint Julien;101 [112];voie;17;1,3,5,7,11,12,13,14,16,18,20,22,24,26,28,30,32
Hameau de Ty Coat;112;voie;17;1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18
Hameau des Rosiers;109;voie;19;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Helles Vian;112;voie;1;1
Hent Ar C'Here;106;voie;11;1,2,3,4,5,6,7,8,9,11,13
Hent Ar Chapel;106;voie;18;1,2,3,4,5,6,7,8,9,10,11,12,13,15,17,19,21,23
Hent Bihan Kerbilaet;112;voie;5;1,2,3,4,5
Hent Carn Guillermic;110;voie;3;1,3,5
Hent Dal Ar Chapel;106;voie;3;1,2,3
Hent Dal Keralan;203;voie;9;1,2,3,4,5,6,8,10,12
Hent Kergroas;110;voie;10;1,2,3,4,5,6,7,8,9,10
Hent Maner Laou;110;voie;15;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Impasse Anatole France;110;voie;5;1,2,3,4,6
Impasse ar Goulinet;110;voie;6;1,2,3,5,7,9
Impasse Charles le Goffic;112;voie;4;1,2,3,4
Impasse Corentin Sevignon;112;voie;4;1,2,3,4
Impasse Croas Ar Bléon;108;voie;9;1,2,4,6,8,10,12,14,16
Impasse de Brenanvec;101;voie;29;1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,20,22,24,26,28,30,35,37,39,41,43,45
Impasse de Kerallain;112;voie;5;1,2,3,4,5
Impasse de la Caisserie;111;voie;6;1,2,3,4,5,6
Impasse de la Pérouse;111;voie;5;1,2,3,4,5
Impasse de Meil Hascoet;110;voie;6;1,2,3,5,7,9
Impasse de Menez Gouyen;110;voie;3;2,4,6
Impasse de Moitie Route;112;voie;6;1,3,5,7,9,33
Impasse de Penhoat;110;voie;9;1,2,3,4,5,7,9,11,13
Impasse de Saint Julien;101 [112];voie;5;2,4,6,8,10
Impasse de Stang Ar Rozen;110;voie;4;1,2,3,4
Impasse de Ty Bout;112;voie;3;2,4,6
Impasse des Ecureuils;110;voie;6;1,2,3,4,5,6
Impasse des Lauriers Roses;101 [102];voie;14;1,2,3,4,5,6,7,8,9,10,12,14,16,18
Impasse des Orchidées;108;voie;11;1,2,3,4,5,6,7,8,9,11,13
Impasse des Peupliers;112;voie;3;2,3,4
Impasse des Sureaux;110;voie;4;1,3,5,7
Impasse des Violettes;109;voie;7;1,2,3,4,6,8,10
Impasse du Miné;112;voie;6;1,3,5,7,9,17
Impasse du Plateau;108;voie;4;1,2,3,5
Impasse du Vieux Moulin;112;voie;6;1,2,3,4,5,6
Impasse Henri Lautredou;112;voie;9;1,2,3,4,6,7,8,10,12
Impasse Henri Miquel;109;voie;7;1,2,3,4,5,6,7
Impasse Jean Jaurès;110;voie;13;1,2,3,4,5,6,7,8,9,10,11,13,15
Impasse Poul Bian;112;voie;3;1,3,5
Impasse René le Berre;112;voie;9;1,2,3,4,5,6,7,8,10
Impasse Yvon Brun;112;voie;3;2,4,6
Kerallain;112;voie;1;1
Kerambludou;203;voie;5;1,2,4,6,8
Kerandraon Vihan;106;voie;5;1,3,5,7,9
Kerandraon;106;voie;2;1,5
Keraoul;110;voie;2;2,4
Kerascoet;111;voie;1;1
Kerbenoch;110;voie;3;2,4,6
Kerbilaët;112;voie;3;9,11,13
Kerbrohen;203;voie;1;1
Kerc'hastel;111;voie;6;2,4,6,8,10,12
Kerdalem Vras;106;voie;6;5,7,9,11,13,15
Kerdrezec;109;voie;1;1
Kereon Izella;112;voie;6;2,4,6,8,10,12
Kereon;112;voie;24;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,22,24,26,28,30,32
Keresquen;111;voie;3;1,2,4
Kerfelest;112;voie;7;1,5,7,9
Kerfelest;109;voie;;2,3,11
Kerfeulest;112;voie;3;2,4,6
Kerfloch;111;voie;1;2
Kerfoulard;110;voie;19;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Kergambae;110;voie;7;2,4,6,8,10,12,14
Kerganevet;110;voie;1;2
Kergoulas;106;voie;2;2,4
Kergueff;;voie;4;2,4,6,8
Kerguelloux Vihan;111;voie;1;1
Kerguelloux;111;voie;2;2,4
Kerguen;;voie;3;1,2,3
Kerhaen;;voie;1;2
Kerhuel;;voie;4;2,4,6,8
Keribic;;voie;2;1,3
Keriel;;voie;1;2
Kerlamen;;voie;4;1,3,5,7
Kerlan;;voie;3;1,3,5
Kerlaouédec;;voie;6;1,3,5,7,9,11
Kerlavar;;voie;1;1
Kerloazec;;voie;5;1,2,3,4,5
Kermorvan;;voie;4;2,4,6,8
Kernalec;;voie;4;1,2,3,4
Keroec Vihan;203;voie;1;1
Keroulle;;voie;3;2,4,6
Kerruc Vian;112;voie;9;1,2,3,4,5,6,7,8,9
Kersalous;;voie;6;1,2,3,5,7,9
Kersegas;;voie;2;2,4
Kersonard;;voie;4;2,4,6,8
Kersonnis;;voie;5;2,4,6,8,10
Kersulec Braz;;voie;2;2,4
Kersulec;;voie;10;1,3,5,6,7,8,9,10,11,13
Kervahut;;voie;2;1,2
Kervallot;;voie;3;1,3,5
Kervant;;voie;5;1,2,3,4,5
Kervescar;;voie;2;2,4
Kerviligou;111;voie;3;1,2,4
Kervilloc;203;voie;11;1,2,3,5,7,9,11,13,15,17,19
Kervouyen;106;voie;5;1,3,5,7,9
Kervrouyen;;voie;8;1,2,4,6,8,10,12,14
Keryan;203;voie;2;2,4
Kerzeurec;106;voie;3;1,3,5
Kreisker;110;voie;1;1
La Minee;110;voie;3;2,4,6
La Pommeraie de Saint - Julien;112;voie;9;1,2,3,4,5,6,7,8,10
Languivoa;110;voie;25;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26
Lanluriec;203;voie;5;1,2,3,4,5
Lanvern;111;voie;1;2
Le Guenvez;110;voie;2;2,4
Le Guib;112;voie;1;1
Le Hellen;101 [108];voie;10;1,3,5,7,9,11,13,15,17,19
Le Leuret;110;voie;6;2,4,6,8,10,12
Le Miné;112;voie;13;1,3,5,7,9,11,13,15,17,19,21,23,25
Le Rest;111;voie;2;1,2
Le Veuz;110;voie;16;1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
Lec'hrenn;110;voie;3;1,3,5
Lescoulouarn;112;voie;22;1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,19,21,23,25,27,29
Lespenhi;111;voie;5;1,3,5,7,9
Lespenhy Vian;111;voie;21;1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,19,20,21,22,23,25
Lieu Dit Boderes;111;voie;15;1,2,3,4,5,6,7,8,9,10,12,14,16,18,20
Lieu Dit Brahiliec;110;voie;3;1,3,5
Lieu Dit Brec Houel;112;voie;3;2,4,6
Lieu Dit Briscoul;111;voie;6;2,4,6,8,10,12
Lieu Dit Coat Gueguen;111;voie;1;2
Lieu Dit Coat Saint Honore;110;voie;1;2
Lieu Dit Cosquer;106;voie;2;2,4
Lieu Dit Cozmaner;110;voie;13;1,2,4,6,8,9,10,11,12,14,16,18,20
Lieu Dit Creac H Calvic;110;voie;5;2,4,5,6,13
Lieu Dit Creach Carnic;110;voie;3;1,3,5
Lieu Dit Creach Irvin;110;voie;5;1,3,5,7,9
Lieu Dit Creach Ru;106;voie;3;1,3,5
Lieu Dit Fao David;106;voie;6;1,3,5,7,9,11
Lieu Dit Fao Youen;110;voie;14;1,2,3,4,5,6,7,8,9,10,11,12,13,15
Lieu Dit Goarem Coz;112;voie;2;1,2
Lieu Dit Hent Kerbascol;203;voie;37;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,30,32,34,36,38,40,42,44,46,48
Lieu Dit Kerallan;203;voie;13;1,2,3,4,5,6,7,8,9,11,13,15,17
Lieu Dit Keransquedel;111;voie;3;1,2,3
Lieu Dit Keravel;110;voie;15;1,2,3,4,5,6,7,8,9,11,13,15,17,19,21
Lieu Dit Kerazan;110;voie;3;1,2,4
Lieu Dit Kerbloas;111;voie;1;2
Lieu Dit Kerbreac H;112;voie;3;1,2,3
Lieu Dit Kerc Hoat;;voie;2;1,2
Lieu Dit Kerdalem;106;voie;2;1,3
Lieu Dit Kereon Voel;203;voie;6;1,3,5,7,9,11
Lieu Dit Kerfiat;203;voie;10;1,2,3,4,5,6,7,9,11,13
Lieu Dit Kergambae An Dour;110;voie;1;1
Lieu Dit Kergambae Creiz;110;voie;2;2,4
Lieu Dit Kerganet;;voie;6;2,4,6,8,10,12
Lieu Dit Kergaviny;110;voie;18;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21
Lieu Dit Kergonda;111;voie;8;1,2,3,4,5,7,9,11
Lieu Dit Kergonian;106;voie;4;2,4,6,8
Lieu Dit Kergorn;110;voie;3;2,4,6
Lieu Dit Kergoulouarn;110;voie;16;1,2,3,4,5,6,7,9,11,13,15,17,19,21,23,25
Lieu Dit Kerguien;111;voie;3;2,4,6
Lieu Dit Kerguivien;111;voie;8;1,2,3,4,5,6,7,8
Lieu Dit Kerhua;110;voie;9;1,2,3,4,5,7,9,11,13
Lieu Dit Kericun;111;voie;1;1
Lieu Dit Kerignon;203;voie;5;1,2,4,6,8
Lieu Dit Keristic;110;voie;5;4,6,8,10,12
Lieu dit Kerlantonet;111;voie;1;1
Lieu Dit Kerleach;111;voie;9;1,2,3,4,5,7,9,11,13
Lieu Dit Kerlemesq;112;voie;2;1,3
Lieu Dit Kerliver;111;voie;3;2,4,6
Lieu Dit Kerloyet;111;voie;2;1,3
Lieu Dit Kerneizan;203;voie;6;1,3,5,7,9,11
Lieu Dit Kernevez;110;voie;1;1
Lieu Dit Kerniou Vihan;110;voie;3;2,4,6
Lieu Dit Kerniou;110;voie;2;1,8
